 
Code,Name,Method,Category,Rate,Buy,Sell
NIO,Cordoba Oro,Western Union,CASH,32.15,36.53,28.71
NPR,Nepalese Rupee,Western Union,CASH,118.29,134.42,105.62
OMR,Rial Omani,Western Union,CASH,0.39,0.44,0.35
PEN,Nuevo Sol,Western Union,CASH,3.34,3.80,2.98
PGK,Kina,Western Union,CASH,3.36,3.82,3.00
PKR,Pakistan Rupee,Western Union,CASH,106.26,120.75,94.88
PYG,Guarani,Western Union,CASH,5966.80,6780.45,5327.50
QAR,Qatari Rial,Western Union,CASH,3.64,4.14,3.25
RON,New Romanian Leu,Western Union,CASH,4.03,4.58,3.60
RSD,Serbian Dinar,Western Union,CASH,102.11,116.03,91.17
RUB,Russian Ruble,Western Union,CASH,65.52,74.45,58.50
RWF,Rwanda Franc,Western Union,CASH,887.32,1008.32,792.25
SAR,Saudi Riyal,Western Union,CASH,3.75,4.26,3.35
SBD,Solomon Islands Dollar,Western Union,CASH,7.94,9.02,7.09
SCR,Seychelles Rupee,Western Union,CASH,13.62,15.48,12.16
SDG,Sudanese Pound,Western Union,CASH,47.13,53.56,42.08
SHP,Saint Helena Pound,Western Union,CASH,0.76,0.86,0.68
SLL,Leone,Western Union,CASH,8390.00,9534.09,7491.07
SOS,Somali Shilling,Western Union,CASH,579.29,658.28,517.22
SRD,Surinam Dollar,Western Union,CASH,7.46,8.48,6.66
STD,Dobra,Western Union,CASH,21109.97,23988.60,18848.19
SYP,Syrian Pound,Western Union,CASH,515.01,585.24,459.83
SZL,Lilangeni,Western Union,CASH,14.44,16.41,12.89
THB,Baht,Western Union,CASH,32.64,37.09,29.14
TJS,Somoni,Western Union,CASH,9.43,10.72,8.42
TMT,Turkmenistan New Manat,Western Union,CASH,3.51,3.99,3.13
TND,Tunisian Dinar,Western Union,CASH,2.86,3.25,2.55
TOP,Pa'anga,Western Union,CASH,2.31,2.62,2.06
TRY,Turkish Lira,Western Union,CASH,5.78,6.57,5.16
TTD,Trinidad and Tobago Dollar,Western Union,CASH,6.75,7.67,6.03
TWD,New Taiwan Dollar,Western Union,CASH,30.86,35.07,27.55
TZS,Tanzanian Shilling,Western Union,CASH,2287.90,2599.89,2042.77
UAH,Hryvnia,Western Union,CASH,27.96,31.77,24.96
UGX,Uganda Shilling,Western Union,CASH,3785.09,4301.24,3379.54
UYU,Peso Uruguayo,Western Union,CASH,32.98,37.48,29.45
UZS,Uzbekistan Sum,Western Union,CASH,8192.12,9309.23,7314.39
VES,Bolivar Soberano,Western Union,CASH,142.99,162.49,127.67
VND,Dong,Western Union,CASH,23255.12,26426.27,20763.50
VUV,Vatu,Western Union,CASH,111.30,126.48,99.37
WST,Tala,Western Union,CASH,2.62,2.98,2.34
XAF,CFA Franc BEAC,Western Union,CASH,566.25,643.47,505.58
XCD,East Caribbean Dollar,Western Union,CASH,2.70,3.07,2.41
XOF,CFA Franc BCEAO,Western Union,CASH,566.25,643.47,505.58
XPF,CFP Franc,Western Union,CASH,103.01,117.06,91.97
YER,Yemeni Rial,Western Union,CASH,250.35,284.49,223.53
ZAR,Rand,Western Union,CASH,14.34,16.30,12.80
ZMW,Zambian Kwacha,Western Union,CASH,12.24,13.91,10.93
ZWL,Zimbabwe Dollar,Western Union,CASH,322.36,366.32,287.82
XBOX,Xbox USD,Xbox Live Gift Card,VOUCHER,1.00,1.04,0.97
CNY,Yuan,Alipay,ETRANSFER,6.82,6.89,6.75
USD,US Dollar,Amazon Gift Card,VOUCHER,1.00,1.18,0.99
USD,US Dollar,Apple Pay,MOBILE,1.00,1.02,0.98
AED,UAE Dirham,Bank,BANK,3.80,3.94,3.64
AUD,Australian Dollar,Bank,BANK,1.36,1.41,1.30
CAD,Canadian Dollar,Bank,BANK,1.36,1.41,1.30
CHF,Swiss Franc,Bank,BANK,0.96,1.00,0.92
CNY,Yuan,Bank,BANK,6.82,7.07,6.53
DKK,Danish Krone,Bank,BANK,7.54,7.81,7.22
EUR,Euro,Bank,BANK,0.85,0.89,0.81
GBP,Pound Sterling,Bank,BANK,0.75,0.77,0.71
HKD,Hong Kong Dollar,Bank,BANK,7.59,7.87,7.26
ILS,Israeli New Shekel,Bank,BANK,3.48,3.61,3.33
JPY,Yen,Bank,BANK,109.11,113.07,104.41
KES,Kenyan Shilling,Bank,BANK,93.82,97.22,89.78
MXN,Mexican Peso,Bank,BANK,18.24,18.61,17.54
NOK,Norwegian Krone,Bank,BANK,7.67,7.95,7.34
NZD,New Zealand Dollar,Bank,BANK,1.41,1.46,1.35
PHP,Philippine Peso,Bank,BANK,52.21,54.10,49.96
PLN,Polish Złoty,Bank,BANK,3.62,3.75,3.46
SEK,Swedish Krona,Bank,BANK,9.38,9.72,8.98
SGD,Singapore Dollar,Bank,BANK,1.40,1.45,1.34
USD,US Dollar,Bank,BANK,1.00,1.03,0.94
BTC,Bitcoin,Bitcoin,CRYPTO,0.00015,0.00015,0.00015
BCH,Bitcoin Cash,Bitcoin Cash,CRYPTO,0.00215,0.00219,0.00207
DOGE,Dogecoin,Dogecoin,CRYPTO,191.73000,203.96809,186.14563
ETH,Ethereum,Ethereum,CRYPTO,0.00478,0.00488,0.00460
LTC,Litecoin,Litecoin,CRYPTO,0.01816,0.01853,0.01763
MXN,Mexican Peso,Mercado Pago,ETRANSFER,18.24,19.00,17.54
XMR,Monero,Monero,CRYPTO,0.00925,0.00944,0.00881
AED,UAE Dirham,MoneyGram,CASH,3.80,4.18,3.52
AUD,Australian Dollar,MoneyGram,CASH,1.36,1.49,1.26
CAD,Canadian Dollar,MoneyGram,CASH,1.36,1.49,1.26
CHF,Swiss Franc,MoneyGram,CASH,0.96,1.06,0.89
CNY,Yuan,MoneyGram,CASH,6.82,7.49,6.31
DKK,Danish Krone,MoneyGram,CASH,7.54,8.29,6.98
EUR,Euro,MoneyGram,CASH,0.85,0.93,0.78
GBP,Pound Sterling,MoneyGram,CASH,0.75,0.82,0.69
HKD,Hong Kong Dollar,MoneyGram,CASH,7.59,8.34,7.03
ILS,Israeli New Shekel,MoneyGram,CASH,3.48,3.82,3.22
JPY,Yen,MoneyGram,CASH,109.11,119.90,101.03
KES,Kenyan Shilling,MoneyGram,CASH,93.82,103.10,86.87
MXN,Mexican Peso,MoneyGram,CASH,18.24,20.04,16.89
NOK,Norwegian Krone,MoneyGram,CASH,7.67,8.43,7.10
NZD,New Zealand Dollar,MoneyGram,CASH,1.41,1.55,1.31
PHP,Philippine Peso,MoneyGram,CASH,52.21,57.37,48.34
PLN,Polish Złoty,MoneyGram,CASH,3.62,3.98,3.35
SEK,Swedish Krona,MoneyGram,CASH,9.38,10.31,8.69
SGD,Singapore Dollar,MoneyGram,CASH,1.40,1.54,1.30
USD,US Dollar,MoneyGram,CASH,1.00,1.10,0.93
KES,Kenyan Shilling,Mpesa,MOBILE,93.82,110.38,81.58
EUR,Euro,Orange Money,MOBILE,0.85,0.89,0.81
USD,US Dollar,Payoneer,ETRANSFER,1.00,1.07,0.95
XRP,Ripple,Ripple,CRYPTO,2.22000,2.26531,2.15534
MXN,Mexican Peso,Saldazo,ETRANSFER,18.24,18.61,17.54
CNY,Yuan,Tenpay,ETRANSFER,6.82,6.89,6.75
USDT,Tether,Tether,CRYPTO,1.02000,1.04082,0.99029
MXN,Mexican Peso,Transfer,MOBILE,18.24,18.61,17.54
AED,UAE Dirham,Western Union,CASH,3.80,4.32,3.39
AUD,Australian Dollar,Western Union,CASH,1.36,1.55,1.21
CAD,Canadian Dollar,Western Union,CASH,1.36,1.55,1.21
CHF,Swiss Franc,Western Union,CASH,0.96,1.09,0.86
CNY,Yuan,Western Union,CASH,6.82,7.75,6.09
DKK,Danish Krone,Western Union,CASH,7.54,8.57,6.73
EUR,Euro,Western Union,CASH,0.85,0.96,0.76
GBP,Pound Sterling,Western Union,CASH,0.75,0.85,0.67
HKD,Hong Kong Dollar,Western Union,CASH,7.59,8.62,6.78
ILS,Israeli New Shekel,Western Union,CASH,3.48,3.95,3.11
JPY,Yen,Western Union,CASH,109.11,123.99,97.42
KES,Kenyan Shilling,Western Union,CASH,93.82,106.61,83.77
MXN,Mexican Peso,Western Union,CASH,18.24,20.73,16.29
NOK,Norwegian Krone,Western Union,CASH,7.67,8.72,6.85
NZD,New Zealand Dollar,Western Union,CASH,1.41,1.60,1.26
PHP,Philippine Peso,Western Union,CASH,52.21,59.33,46.62
PLN,Polish Złoty,Western Union,CASH,3.62,4.11,3.23
SEK,Swedish Krona,Western Union,CASH,9.38,10.66,8.38
SGD,Singapore Dollar,Western Union,CASH,1.40,1.59,1.25
USD,US Dollar,Western Union,CASH,1.00,1.14,0.89
ZEC,Zcash,Zcash,CRYPTO,0.00870,0.00888,0.00845
